,year,scripture_references
83,2014,D&C 88:15; Mosiah 4:12; Abraham 3:25; 2 Nephi 2:27; D&C 121:45; D&C 64:34; Joshua 24:15; D&C 64:10; John 14:15; D&C 33:1
84,2014,Mark 10:21; Mark 10:46–52; Isaiah 35:3; Moses 6:33–35; Mosiah 5:2; 2 Nephi 31:10; John 10:14; Alma 22:15–16; Helaman 3:29; Doctrine and Covenants 42:29; Psalm 119:105; Matthew 11:28; Isaiah 55:3; Alma 29:8; Luke 8:43–48; Doctrine and Covenants 20:37; Acts 2:37–38; Mosiah 5:5; Alma 34:17–27; Doctrine and Covenants 81:5
85,2014,John 12:3–5; 2 Nephi 2:14; Luke 15:7; Proverbs 14:31; Mark 14:3–5; Alma 32:2–3; Doctrine and Covenants 38:35; Matthew 26:6–9; Mosiah 4:19; Isaiah 52:7; Isaiah 58:9; Isaiah 3:14–15; 3 Nephi 9:15; Doctrine and Covenants 56:18; Isaiah 58:6–7; Mark 14:6; Luke 4:18; Alma 34:17–27; Mosiah 4:11–12; Matthew 8:20; Alma 34:28
86,2014,2 Nephi 32:5; Helaman 5:12
87,2014,Doctrine and Covenants 76:79; Acts 17:32; Alma 34:32; Isaiah 7:15; Doctrine and Covenants 45:26; Acts 17:21; Mark 7:22; Doctrine and Covenants 76:5; Doctrine and Covenants 58:27
88,2014,1 Nephi 2:16; Alma 32:38; Alma 56:48; 1 Nephi 10:17; Alma 5:45–46; James 1:5; Alma 32:28; History 1:8–10; 1 Nephi 11:1; Alma 5:46; Alma 32:41
89,2014,3 Nephi 27:27; Deuteronomy 15:11; Isaiah 58:8–11; Isaiah 58:6–7
90,2014,2 Corinthians 4:4; Alma 17:11; Ether 12:27; 1 Timothy 1:11; Matthew 26:21–22; Ephesians 3:18; Luke 12:34; Doctrine and Covenants 4:6; James 4:6; Matthew 7:3; Doctrine and Covenants 1:28
91,2014,Doctrine and Covenants 121:43; Doctrine and Covenants 84:26; Alma 8:14–18; Doctrine and Covenants 122:9; Alma 12:24; Doctrine and Covenants 13:1; Doctrine and Covenants 107:14; Alma 42:10
92,2014,Daniel 5:17; Philippians 2:15; 1 Timothy 4:12; Luke 18:22; Jacob 7:5; Daniel 6:23
93,2014,Matthew 16:19; 1 Nephi 3:7; Doctrine and Covenants 121:45; 1 Nephi 3:8
94,2014,Mosiah 2:11; Doctrine and Covenants 42:11; Alma 40:2; 2 Nephi 3:6; Mosiah 3:5–11; 3 Nephi 13:10; Doctrine and Covenants 21:1; Mosiah 15:1–9; Amos 3:7; Daniel 9:10; Doctrine and Covenants 1:30; Doctrine and Covenants 107:27; 1 Nephi 11:36; Abraham 3:22–23; Jacob 4:4–6; 1 Nephi 1:19; Matthew 6:10; John 15:16; Luke 11:2; Helaman 14:12; 1 Nephi 11:31
95,2014,1 Kings 17:10; Doctrine and Covenants 68:4; 1 Kings 17:14; Ephesians 4:14; Mosiah 2:9; Isaiah 55:9; Ephesians 2:20; Doctrine and Covenants 21:4; Helaman 5:12; 3 Nephi 20:23; Doctrine and Covenants 132:7; Proverbs 3:5; Ephesians 4:12–13; 1 Kings 17:15; Doctrine and Covenants 1:38; 1 Kings 17:11
96,2014,3 Nephi 11:32; Moroni 10:4–5; Doctrine and Covenants 46:13; Helaman 5:12; John 3:16; Luke 23:34; Luke 1:32; Luke 2:49; Doctrine and Covenants 138:51; Matthew 3:17; 3 Nephi 11:27; Moses 1:39; Matthew 6:9–10; Moses 7:53; 3 Nephi 19:29; Doctrine and Covenants 88:4; John 17:1; Matthew 26:39; 3 Nephi 11:7; 2 Nephi 32:3; John 5:19; 3 Nephi 14:24; John 20:17; Doctrine and Covenants 14:7; 1 John 4:19; Ether 12:41; John 17:3; Moses 2:1; History 1:17; Doctrine and Covenants 88:119; Moses 4:2; 3 Nephi 11:10
