,scripture_references
40,Isaiah 53:3; Moroni 7:47; Doctrine and Covenants 38:27; John 17:21; Isaiah 53:3; Moroni 7:47; Doctrine and Covenants 38:27; John 17:21
41,1 Corinthians 11:11; 1 Corinthians 11:11
42,Matthew 11:28–30; Mosiah 18:8–9; John 14:16–17; John 14:26–27; Mosiah 18:9; Mosiah 24:14–15; Job 19:25–26; Job 42:12; 1 Corinthians 13:8; Moroni 7:47; Mosiah 18:9; Doctrine and Covenants 81:5; Matthew 11:28–30; Mosiah 18:8–9; John 14:16–17; John 14:26–27; Mosiah 18:9; Mosiah 24:14–15; Job 19:25–26; Job 42:12; 1 Corinthians 13:8; Moroni 7:47; Mosiah 18:9; Doctrine and Covenants 81:5
43,Matthew 25:34–40; Isaiah 58:6–11; at 6:00; Isaiah 58:8–9; Matthew 25:34–40; Isaiah 58:6–11; Isaiah 58:8–9
44,Abraham 4:27–28; Moses 5:2–3; D&C 124:34; D&C 132:19; D&C 88:15; D&C 130:20; Romans 7:14–15; 2 Nephi 2:5; D&C 29:34; Alma 38:12; 2 Nephi 2:27; D&C 132:28; D&C 19:15; Alma 39:5; Matthew 5:26; D&C 58:42; 1 Corinthians 15:19; D&C 132:19
45,2 Nephi 2:27; Genesis 2:18; Genesis 2:18; 2 Nephi 2:27; Genesis 2:18; Genesis 2:18
46,Matthew 13:19; Mark 4:14; Luke 8:11; Mark 4:4; Mark 4:5–6; Mark 4:16–17; Mark 4:7; Mark 4:18–19; Mark 10:17–24; 1 Timothy 6:10; Alma 4:10; Alma 4:8; Luke 8:14; Matthew 16:23; D&C 3:6; Matthew 13:8; Luke 8:15; Colossians 2:6–7; Alma 5:12–14
47,Alma 32:27; 3 Nephi 14:8; John 10:37–38; 3 Nephi 11:32; Doctrine and Covenants 59:23; Alma 32:27; 3 Nephi 14:8; John 10:37–38; 3 Nephi 11:32; Doctrine and Covenants 59:23
48,D&C 45:26; Genesis 3:9–10; 2 Peter 1:2; Alma 23:5–6; Mosiah 23:27–28; 2 Nephi 2:8; D&C 19:23; D&C 59:23; Moroni 7:41; Philippians 4:7; Colossians 1:23; Alma 37:47; Matthew 14:27–29; Matthew 14:30–31; D&C 6:36; Helaman 5:12; 2 Nephi 31:20; D&C 42:61; 1 Timothy 2:2; Hebrews 12:28; Job 28:28; Proverbs 16:6; Isaiah 11:2–3; Psalm 33:8; Deuteronomy 5:29; Psalm 112:1; D&C 101:78; Faith 1:2; Proverbs 1:7; Proverbs 15:33; Proverbs 14:26; Proverbs 14:27; Mosiah 4:30; 2 Nephi 9:14; Alma 11:43; Mosiah 16:10; Jacob 6:13; Enos 1:27; Moroni 10:34; Alma 41:6; Alma 12:14; Alma 41:5; Ecclesiastes 12:13–14; 2 Nephi 25:23; Alma 34:10; Faith 1:3; Moroni 8:16; D&C 50:25; John 14:27
49,Psalm 82:6; Acts 17:29; Hebrews 12:9; Doctrine and Covenants 93:29; Moses 6:51; Abraham 3:22; Alma 24:14; Alma 42:8; Alma 12:25; Abraham 3:24–26; Job 38:7; John 1:3; Doctrine and Covenants 76:23; 1 Corinthians 15:21; 2 Nephi 2:25; 2 Nephi 2:15; Alma 12:24; Doctrine and Covenants 29:39; Moses 4:3; Genesis 3:22–24; Alma 42:2–6; Moses 4:28–31; Helaman 14:17; 3 Nephi 27:14; Doctrine and Covenants 93:36; Moses 6:58–59; Genesis 1:26–28; Moses 2:26–28; Psalm 82:6; Acts 17:29; Hebrews 12:9; Doctrine and Covenants 93:29; Moses 6:51; Abraham 3:22; Alma 24:14; Alma 42:8; Alma 12:25; Abraham 3:24–26; Job 38:7; John 1:3; Doctrine and Covenants 76:23; 1 Corinthians 15:21; 2 Nephi 2:25; 2 Nephi 2:15; Alma 12:24; Doctrine and Covenants 29:39; Moses 4:3; Genesis 3:22–24; Alma 42:2–6; Moses 4:28–31; Helaman 14:17; 3 Nephi 27:14; Doctrine and Covenants 93:36; Moses 6:58–59; Genesis 1:26–28; Moses 2:26–28
50,1 Peter 2:9; Mosiah 5:2; Alma 5:26; D&C 121:41; D&C 121:45
51,2 Nephi 31:2; 3 Nephi 11:23; Moroni 6:6; Doctrine and Covenants 20:77; Alma 7:12; Ezekiel 33:12; 2 Nephi 9:16; Mormon 9:14; Doctrine and Covenants 58:42; Isaiah 61:1–3; Luke 4:16–21; Matthew 6:2; 2 Nephi 31:2; 3 Nephi 11:23; Moroni 6:6; Doctrine and Covenants 20:77; Alma 7:12; Ezekiel 33:12; 2 Nephi 9:16; Mormon 9:14; Doctrine and Covenants 58:42; Isaiah 61:1–3; Luke 4:16–21; Matthew 6:2
52,Alma 38:2–3; Alma 39:12; Alma 31:7; Alma 63:2; Alma 63:11; Alma 48:17–19; 2 Corinthians 5:17; Mosiah 27:26; Mosiah 18:9; Mosiah 4:16; Alma 31:7
53,2 Nephi 9:20; Mosiah 15:8–9; Philippians 4:7; Matthew 13:41; Matthew 13:43; Doctrine and Covenants 115:5; s 7:20; says 7:30; Doctrine and Covenants 42:46; 4 Nephi 1:26; 4 Nephi 1:15; Mosiah 18:21; Doctrine and Covenants 38:25; Doctrine and Covenants 18:10; Psalm 27:1; 2 Nephi 9:20; Mosiah 15:8–9; Philippians 4:7; Matthew 13:41; Matthew 13:43; Doctrine and Covenants 115:5; Doctrine and Covenants 42:46; 4 Nephi 1:26; 4 Nephi 1:15; Mosiah 18:21; Doctrine and Covenants 38:25; Doctrine and Covenants 18:10; Psalm 27:1
54,Doctrine and Covenants 58:27; Mosiah 3:5–13; Doctrine and Covenants 58:27; Mosiah 3:5–13
55,1 Nephi 12:17; Alma 48:17; Alma 48:13; Alma 43:23–24; Alma 5:57; 3 Nephi 27:14; Moroni 10:4–5; Ephesians 6:16; Doctrine and Covenants 27:17; Revelation 12:11; Luke 22:31–32; John 14:6; John 8:12; John 16:33; 1 Nephi 12:17; Alma 48:17; Alma 48:13; Alma 43:23–24; Alma 5:57; 3 Nephi 27:14; Moroni 10:4–5; Ephesians 6:16; Doctrine and Covenants 27:17; Revelation 12:11; Luke 22:31–32; John 14:6; John 8:12; John 16:33
56,Matthew 6:38; Matthew 6:33; at 9:00; John 5:19; John 8:28; D&C 20:44; Moses 1:39
57,Isaiah 29:13; Matthew 23:27; Doctrine and Covenants 121:37; Revelation 2:4; History 1:19; Doctrine and Covenants 84:20; Mormon 8:39; Ether 12:27; Acts 10:34; Deuteronomy 7:9; 1 John 1:9; Revelation 7:16–17; 1 Peter 5:2; James 4:6; Luke 8:56; Mark 10:17–18; John 8:29; Doctrine and Covenants 81:5; Doctrine and Covenants 38:35; Doctrine and Covenants 83:6; Isaiah 29:13; Matthew 23:27; Doctrine and Covenants 121:37; Revelation 2:4; History 1:19; Doctrine and Covenants 84:20; Mormon 8:39; Ether 12:27; Acts 10:34; Deuteronomy 7:9; 1 John 1:9; Revelation 7:16–17; 1 Peter 5:2; James 4:6; Luke 8:56; Mark 10:17–18; John 8:29; Doctrine and Covenants 81:5; Doctrine and Covenants 38:35; Doctrine and Covenants 83:6
58,Luke 11:2; Doctrine and Covenants 20:51; Matthew 25:21; Matthew 20:1–16; at 11:00; Matthew 25:21; Luke 11:2; Doctrine and Covenants 20:51; Matthew 25:21; Matthew 20:1–16; Matthew 25:21
59,Alma 17:2–3; Alma 17:2–3
60,John 14:27; John 14:27
61,Mosiah 4:9; Helaman 5:12; Mosiah 4:9; Helaman 5:12
62,Doctrine and Covenants 6:36; John 15:4; John 15:11; John 15:5; Doctrine and Covenants 64:25; John 15:9; Doctrine and Covenants 6:36; John 15:4; John 15:11; John 15:5; Doctrine and Covenants 64:25; John 15:9
63,Luke 10:23–24; 2 Nephi 27:26; 3 Nephi 2:1; Matthew 7:7; 1 Corinthians 2:9; 3 Nephi 19:9; Hebrews 2:4; Luke 10:23–24; 2 Nephi 27:26; 3 Nephi 2:1; Matthew 7:7; 1 Corinthians 2:9; 3 Nephi 19:9; Hebrews 2:4
64,Luke 15:2; Luke 15:4; Luke 15:8; Luke 15:12–13; Luke 15:20; Luke 15:17; 1 Nephi 8:23; Romans 3:23; Luke 15:20
65,2 Nephi 2:19; Moses 5:10–11; 2 Nephi 2:24; 1 Corinthians 15:45; 1 Corinthians 15:45; 1 Corinthians 15:22; 2 Nephi 2:25; 2 Nephi 9:6; John 20:7; 2 Nephi 2:19; Moses 5:10–11; 2 Nephi 2:24; 1 Corinthians 15:45; 1 Corinthians 15:45; 1 Corinthians 15:22; 2 Nephi 2:25; 2 Nephi 9:6; John 20:7
