,scripture_references
2335,D&C 107:99; Luke 6:43–49; D&C 64:33
2336,John 17:3; D&C 27:12; D&C 81:1; D&C 110:11; D&C 112:30; D&C 46:7; D&C 46:11; D&C 21:4; D&C 21:6; D&C 68:3
2337,Mosiah 4:10
2338,D&C 119:4
2339,D&C 90:18; D&C 88:119; D&C 104:16
2340,Jonah 4:5; D&C 101:7; D&C 101:48; D&C 101:50; Moses 5:6; Luke 1:38; D&C 100:15; D&C 121:45
2341,D&C 59:18
2342,at 7:00; D&C 29:34
2343,Luke 7:11–15; D&C 83:6; D&C 107:68; D&C 42:34; D&C 84:112
2344,Mosiah 4:12–16; Mosiah 4:26; John 14:12; D&C 38:27; Acts 20:35; D&C 52:40
2345,Luke 12:59; D&C 59:6; D&C 1:31; James 1:8; Moses 5:50–55; Alma 32:16; D&C 58:43
2346,D&C 130:18
2347,D&C 88:125; Luke 22:26; Luke 22:31–32; D&C 88:125
2348,Alma 13:3; D&C 64:33
2349,Galatians 6:2
2350,D&C 88:119; D&C 88:19
2351,D&C 131:1
2352,D&C 4:4
2353,F 1:1; F 1:13; John 21:15–16; D&C 107:14; Luke 1:6; Luke 1:13–15; Luke 1:80; John 1:20; John 1:29; D&C 13:1; D&C 20:73
2354,John 11:5; John 11:3; John 11:6; John 11:18–19; John 11:21; John 11:23; John 11:24; John 11:25–26; John 11:27; John 11:32; John 11:34; John 11:37–38; John 11:43–44; Mark 10:32–34; Luke 22:19; Luke 22:44; Mark 15:25; Luke 23:44–45; Luke 24:6; Mark 16:15; Luke 24:50–51; Acts 1:10–11; Acts 3:20–21; D&C 121:8
2355,John 14:16; John 14:26; John 6:66–69; D&C 42:61; Job 32:8; Enos 1:10; D&C 8:2; D&C 85:6
2356,Moses 1:39; Acts 4:12
2357,John 5:39; Nahum 2:3–4; Luke 7:28; Amos 3:7; Acts 3:20–21; Acts 3:21
2358,Moses 6:33; D&C 58:3; D&C 121:7; D&C 122:5; D&C 82:14; Job 23:10–11; D&C 101:2; D&C 127:2; Job 23:10
2359,John 1:5; Alma 34:32–33; Alma 34:32–33; Covenants 58:64; D&C 58:64; Moses 7:62
2360,Moses 7:19; Moses 7:28–29; Moses 7:31–33; D&C 88:22; D&C 88:32; Mosiah 5:13; John 14:18; Luke 4:18; Alma 34:28
2361,D&C 82:14
2362,about 10:30; D&C 50:26; Luke 2:46–47; D&C 59:21
2363,D&C 128:18; D&C 128:22
2364,D&C 101:39; Mosiah 4:30; D&C 103:9
2365,D&C 18:10; Mark 10:21; John 8:12
2366,H 1:33; D&C 50:22; D&C 42:14; Alma 7:17
2367,D&C 84:46
2368,Luke 24:5–6
2369,D&C 76:22; D&C 20:1; D&C 109:73; D&C 121:1; D&C 122:1; D&C 135:3; D&C 21:1
2370,D&C 1:23
2371,D&C 115:4; D&C 27:5; D&C 20:8; D&C 1:29; D&C 19:26; D&C 20:9; Ether 2:11; D&C 84:54; D&C 33:16; D&C 42:12; John 4:14; D&C 43:34; D&C 43:15; John 5:39; Alma 53:16–21; Jacob 2:28; Alma 39:5; D&C 20:9; D&C 19:26; D&C 45:57
2372,Moses 1:39; D&C 76:78; D&C 58:26
2373,D&C 112:30; D&C 98:14
2374,D&C 101:78; D&C 58:27
2375,John 10:16; Mark 10:14; D&C 20:25; D&C 20:37; D&C 20:69; D&C 21:4; D&C 21:6
2376,Mosiah 18:27–29; D&C 42:29; D&C 59:5
2377,Luke 8:15
2378,D&C 42:42; D&C 75:28; D&C 44:6; D&C 84:112; D&C 38:30; D&C 88:123
2379,Mosiah 4:26–27; D&C 38:30; D&C 41:2; D&C 46:11; D&C 70:12
2380,Acts 3:21; D&C 68:28; F 1:9; D&C 68:8; D&C 1:1
2381,D&C 59:9; D&C 59:15; Luke 22:42; Moses 2:1; D&C 127:9; D&C 89:18; D&C 89:4
2382,Ether 2:12; John 10:16
2383,D&C 1:3
2384,Mark 6:3; Mark 6:6; Mark 6:4; D&C 19:18; John 14:15; D&C 1:35; D&C 6:12
2385,D&C 131:7; John 4:24; D&C 130:22; D&C 29:34; D&C 29:30; D&C 76:24; D&C 84:46; D&C 93:38; Moses 5:6–8; Moses 6:64–65; Moses 5:10; Moses 5:12–13; Moses 5:5; Moses 5:7–8; Ether 2:14–15; Ether 3:14; Enos 1:2–10; Alma 17:2–3; D&C 10:5; John 5:39; D&C 20:77; D&C 59:1; D&C 93:1
2386,D&C 98:12; D&C 4:7
2387,H 1:15–20; H 1:25; D&C 93:29; John 14:2; D&C 137:9; D&C 135:3; Acts 3:19–21; D&C 124:28; D&C 136:37
2388,Moses 6:5–6; James 3:9–12; D&C 76:22
2389,D&C 68:28; D&C 93:36; Mosiah 4:15; Enos 1:1
2390,John 10:14; John 10:27; John 13:34; John 3:5; Mark 5:34; John 3:5; D&C 5:16; D&C 77:8; Acts 4:12
2391,D&C 63:58; Ether 2:10; Ether 13:3; D&C 101:80; Ether 8:24; D&C 98:10
2392,D&C 84:34; Titus 1:15–16; Titus 1:15–16; D&C 121:41; D&C 20:50
2393,F 1:4; Moses 5:7–8; Mosiah 3:17; Acts 4:7–10; John 8:24; D&C 18:21; Moses 1:39; Moses 1:39; Ether 3:14; D&C 19:16; John 8:24; Mosiah 3:17
2394,D&C 84:33; D&C 20:1; D&C 21:1; D&C 107:22; D&C 107:23; D&C 107:34
2395,James 1:5; H 1:17; H 1:24; Amos 3:7; D&C 107:60; Luke 10:27; F 1:4
2396,Moses 1:39; H 1:17; Song 6:10
2397,John 17:3; D&C 19:38; D&C 10:5; D&C 58:42; Enos 1:2–6; D&C 58:42; Mosiah 4:9–12; D&C 6:12
2398,Alma 5:14
2399,Luke 11:9; Mark 5:22–24; Mark 5:35–43
2400,Luke 13:34–35; Alma 41:10
2401,D&C 58:2; D&C 122:7; D&C 42:46; D&C 121:7
2402,D&C 4:7; D&C 46:7
2403,Doctrine and Covenants 64:8; D&C 64:8; Matthew 22:36–39; 3 Nephi 11:29; Luke 23:34; John 11:25–26; Mosiah 2:22; D&C 82:10; D&C 14:7
2404,Acts 21:16
2405,John 14:26; Acts 5:29
2406,Luke 9:62
2407,Jacob 2:18–19
2408,Mark 12:42; Mark 12:43–44
2409,D&C 52:40; D&C 52:40; D&C 29:34
2410,D&C 128:21; Alma 1:26–27; Alma 1:26; Alma 1:26; Alma 1:26; Alma 1:27; Alma 1:27; Alma 1:28–29
2411,D&C 42:31; D&C 51:13; D&C 58:35; D&C 72:2; D&C 82:11; D&C 85:1; D&C 42:80; D&C 58:17; D&C 72:17; D&C 107:72; D&C 38:35; D&C 42:33; D&C 70:7; D&C 51:13; D&C 84:112; D&C 107:68; D&C 81:5; D&C 42:33; D&C 72:9; D&C 84:112; D&C 107:68; D&C 75:29; D&C 82:14
2412,Acts 10:34; D&C 84:85; D&C 121:7
2413,D&C 64:33; Luke 1:46–47
2414,D&C 68:25; Moses 1:39; D&C 68:25; D&C 68:28
2415,John 11:21; John 11:35
2416,D&C 68:25; D&C 68:25; D&C 68:28; D&C 68:30
2417,Mosiah 27:1–2; Mosiah 27:12–14; Mosiah 27:24–26; Alma 29:9
2418,John 17:11; D&C 128:18; Moses 1:39
2419,John 17:11; D&C 38:27; Acts 20:29–30; Titus 1:10; Jude 1:18–19; Acts 3:21; Amos 3:7; Acts 13:1–3; Acts 3:19–21
2420,D&C 64:33; D&C 11:12
2421,H 1:30–32; H 1:38–39; D&C 110:2; D&C 110:14; D&C 93:40; D&C 68:28; D&C 88:118; D&C 89:18
2422,Moses 1:39; John 14:12; Mark 9:23; Alma 29:4; D&C 90:24; D&C 130:20; James 1:17; D&C 130:21; Mosiah 2:21; D&C 123:13; D&C 123:17; Luke 6:38; D&C 77:8; Moses 4:2; D&C 112:10; John 17:5; John 10:11; John 5:25; John 5:19; John 7:16
2423,D&C 64:23; D&C 59:8; Alma 22:18; D&C 132:19
2424,Mark 16:20; D&C 64:34; D&C 4:3; D&C 84:88
2425,D&C 38:30; D&C 64:23; Acts 20:35; D&C 104:78; D&C 19:35
2426,Alma 36:3; D&C 89:18; D&C 38:12; D&C 85:3; D&C 64:23; D&C 119:5; D&C 42:24; Alma 39:3–5; D&C 121:45; Acts 13:22; D&C 132:39; Alma 37:34–37
2427,D&C 89:18; D&C 84:33
2428,Alma 32:23
2429,H 1:33–35; D&C 115:4; D&C 115:1; D&C 1:30; D&C 1:1
2430,Ether 12:6; Mosiah 27:24–27; D&C 19:18
2431,D&C 58:27; John 14:27; D&C 82:10; D&C 58:27; D&C 50:24
2432,Alma 11:40; D&C 64:33; at 4:00; John 21:15–17
2433,D&C 56:16; Mark 8:38
2434,Luke 23:34
2435,John 16:13–15; Acts 19:1–6; D&C 8:2; D&C 9:8; D&C 88:21; D&C 20:79; Alma 17:10; Alma 5:14; Alma 5:14; D&C 88:68
2436,M 1:10; M 1:22; D&C 38:25; D&C 20:53
2437,John 3:16–17; Alma 42:13; Luke 15:3–32; Luke 7:37–39; Luke 7:41–43; Luke 7:47–48; Alma 42:10; Alma 36:21; Alma 38:8; Alma 42:23; Alma 42:29; Alma 42:30
2438,Mosiah 27:31; D&C 76:110; John 12:34; John 4:19; John 17:3; Acts 4:12; D&C 132:12; John 14:6; John 1:1–5; Moses 4:1–4; Moses 1:33; Luke 1:26–35; Mark 1:10–11; Luke 6:13; Luke 10:1; D&C 76:41; John 3:17; Mark 14:34–36; Luke 22:41–42; John 20:11–18; Luke 24:13–44; Acts 1:9–11; Mark 16:19–20; Luke 24:51–53; D&C 102:9; F 1:9; John 21:22; Acts 4:12; D&C 132:12; John 14:6
2439,John 7:24
2440,D&C 78:18; D&C 87:8; D&C 38:30; D&C 78:18; John 16:12; Mark 4:33; D&C 76:22; Moses 1:11; John 21:15–17
2441,D&C 29:34; D&C 107:27
2442,D&C 52:40; D&C 38:30; D&C 107:99
2443,D&C 104:14; D&C 78:7; D&C 78:11; D&C 29:14; D&C 29:19; D&C 78:14; D&C 97:23
2444,Alma 34:17; Alma 34:21; Alma 34:28–29; D&C 104:13
2445,D&C 107:33; D&C 107:98; D&C 82:12; D&C 107:68; D&C 84:112; D&C 42:38; D&C 104:15; D&C 51:13; D&C 105:5
2446,D&C 107:33; Luke 6:46; F 1:13
2447,Mark 12:30–31; D&C 58:42; John 13:34
2448,Acts 26:5; James 1:1; James 1:26; James 1:27; Mosiah 2:16–17
2449,D&C 18:10; Luke 22:41–44; D&C 19:15; Moses 1:39; Moses 7:30; Moses 1:33; Ether 3:14–16; D&C 76:24; Moses 1:39; D&C 93:1; D&C 18:10; Mark 8:36–37; D&C 68:8
2450,D&C 93:40; D&C 121:41
2451,Alma 37:34–35
2452,H 1:24–25; Doctrine and Covenants 124:20; D&C 124:20
2453,D&C 84:80; Alma 26:2; D&C 84:80
2454,D&C 128:22; D&C 128:22
2455,Mark 5:25–34
2456,D&C 41:5; D&C 93:1; Luke 9:57–62; Luke 14:25–27; Luke 14:28–30; D&C 57:2; D&C 58:1; D&C 59:1; D&C 59:6; D&C 59:23; D&C 103:2; D&C 103:4; D&C 103:6; D&C 103:27; D&C 103:28; D&C 84:6; D&C 84:30; D&C 84:33; D&C 93:1
2457,D&C 83:2
2458,H 1:17; H 1:21–24; H 1:25; F 1:1; John 14:26; F 1:3; D&C 76:40; John 10:17–18; John 5:26–29; John 11:25–26; John 3:16–17; John 3:16
2459,John 1:46; F 1:9
2460,D&C 18:33; D&C 68:4; Alma 37:43–47; Amos 3:7; D&C 1:11; John 3:14–15
2461,Luke 12:1–3; Mark 12:44; Alma 60:36; Alma 53:20–21
2462,H 1:28–65; Ether 2:10–12; Ether 2:10
2463,John 14:26; D&C 42:17; D&C 110:3; D&C 128:21; D&C 110:11; D&C 128:20; D&C 68:2; D&C 1:20; D&C 121:26; F 1:9; D&C 89:19; D&C 93:1; D&C 67:10
2464,Jacob 4:8
2465,F 1:2; Mosiah 12:35–36; Mosiah 13:12–24; Mosiah 13:11; D&C 42:18; Micah 6:8; D&C 11:12; F 1:13
2466,Moses 1:39; D&C 121:45; D&C 14:7
2467,Moses 5:1; Luke 10:1–2; D&C 20:53
2468,D&C 130:2; Mosiah 3:17; Mosiah 3:18
2469,Jacob 5:47–48; D&C 38:30; D&C 82:14; Alma 13:11; D&C 105:4; Moses 7:62
2470,D&C 89:10; D&C 89:20; D&C 88:124; D&C 88:124; D&C 59:20
2471,D&C 104:14; D&C 4:2; D&C 72:3; D&C 51:19
2472,at 6:15
2473,D&C 18:10; D&C 132:19
2474,D&C 133:57; Mosiah 18:8–13; D&C 35:15; D&C 38:16; D&C 42:29; D&C 44:6; D&C 52:40; D&C 56:16; D&C 84:37; D&C 104:14
2475,D&C 59:5; Luke 10:27; D&C 58:27; F 1:13; Moses 2:27; D&C 58:27; Joel 2:28–29
2476,John 13:34
2477,D&C 68:4
2478,Jonah 3:5
2479,D&C 83:2; H 1:17
2480,D&C 136:23
2481,Luke 21:2–4; Luke 1:41; John 20:14–18
2482,H 1:19
2483,John 8:31–32; John 17:1–6; John 17:3; Moses 1:39; John 8:31–32; D&C 88:77; D&C 88:12; John 1:14; D&C 29:35; D&C 58:43; D&C 93:26
2484,Moses 5:8
2485,D&C 98:2; Mosiah 4:14–15; D&C 64:33
2486,D&C 88:11; D&C 81:5; D&C 8:1
2487,D&C 121:45; D&C 1:16; D&C 82:10; D&C 1:38; John 15:18–19
2488,Moses 1:39; D&C 9:8; D&C 58:26; D&C 132:19
2489,D&C 59:8
2490,D&C 138:44; D&C 65:2; John 3:3; D&C 82:14; D&C 63:32; D&C 38:30; D&C 103:9; D&C 82:14; Moses 4:4; D&C 98:8; D&C 58:26; John 18:36; D&C 105:14; Moses 7:61; D&C 115:5; D&C 65:5
2491,D&C 6:25; D&C 9:5; Acts 12:7–8
2492,D&C 121:45; Luke 22:42
2493,D&C 27:12; D&C 110:11; Acts 7:55; Acts 9:3–5; Enos 1:1–17
2494,D&C 29:46; D&C 68:25; D&C 93:40; D&C 20:46; D&C 20:59; D&C 84:33; James 1:5; H 1:22
2495,F 1:13; Moses 1:39
2496,D&C 25:12; Moses 5:5–6; Ether 2:13–15; Alma 34:17–27; D&C 10:5; D&C 19:28; D&C 20:47; D&C 20:51; D&C 23:6; D&C 31:12; D&C 61:39; D&C 93:49; D&C 68:28; D&C 68:33; D&C 88:12; Moses 5:4; Moses 1:3; H 1:16–17; H 1:28–59; H 1:29–30; Enos 1:10; D&C 6:15; D&C 8:1; D&C 8:2; D&C 9:8
2497,John 18:33–38; John 18:37; John 17:3; James 1:1; James 1:5–7; H 1:19; Amos 3:7; F 1:8; F 1:9; John 1:1–4; John 10:16; Moses 5:4–9; Moses 6:43; Moses 8:19
2498,Doctrine and Covenants 68:25; D&C 68:25; 3 Nephi 11:29; Mosiah 4:14
2499,John 20:25; John 20:26–29; John 1:3; John 1:29; John 4:13–14; John 4:25–26; John 11:25–26; John 10:16
2500,Amos 3:7; Amos 3:7
2501,D&C 46:27
2502,Luke 4:23; D&C 25:12
2503,D&C 58:27; Luke 6:31; D&C 88:88; Moses 1:39
2504,Luke 24:16; Luke 24:25; Acts 3:19–21; Luke 7:28; Amos 3:7; D&C 2:3
2505,John 1:46; Luke 18:22; D&C 1:30; Jonah 3:3; Ether 13:13–22; Moses 6:31; Alma 4:19
2506,D&C 76:5; D&C 78:13; D&C 93:30; D&C 93:31; D&C 58:3; D&C 105:3; D&C 105:9; D&C 105:34; D&C 82:19; Moses 5:50; Alma 30:17; D&C 19:26; D&C 98:19; D&C 38:24; D&C 38:27
2507,D&C 81:5; Alma 1:27; D&C 38:34; D&C 38:30
2508,D&C 38:30
2509,D&C 1:16; Mosiah 18:19
2510,D&C 75:29; D&C 42:42; D&C 9:7; Mosiah 26:12–14
2511,James 2:8; Alma 34:17–38
2512,D&C 11:21; D&C 90:11; D&C 1:2; D&C 124:11; Moses 6:58–59; D&C 62:3
2513,D&C 93:36
2514,D&C 83:6; D&C 104:16; at 7:00; Acts 20:35
2515,D&C 42:22
2516,D&C 135:3
2517,Moses 5:13; Moses 8:16–17; Moses 8:24; D&C 1:1; D&C 1:5; D&C 1:15; D&C 5:19; D&C 29:1; D&C 5:20
2518,Alma 41:11; Mosiah 2:22–24; D&C 78:7; D&C 82:10; D&C 21:4; D&C 21:6; Alma 34:31–34; Job 23:10; Mosiah 3:19; D&C 88:21; D&C 76:55; D&C 105:3
2519,James 1:5; H 1:17; Mark 10:14; Mark 16:15–16; Amos 3:7; James 2:19; James 2:20; Luke 23:43
2520,Mark 10:17–22; Mosiah 3:19
2521,Alma 41:10; D&C 115:5
2522,D&C 84:19; D&C 84:19; D&C 107:18; D&C 84:33; Alma 13:11–12; Moses 6:67–68; D&C 131:2; D&C 131:1; D&C 84:44; D&C 84:38; D&C 84:33; D&C 76:54; D&C 131:5; D&C 132:49; D&C 93:1; D&C 67:10
2523,Luke 15:20
2524,D&C 11:11; D&C 84:116; D&C 124:87; Mosiah 23:21–22; Alma 56:44; Alma 57:19; Era 42:457
2525,F 1:13; D&C 82:10; D&C 58:43; D&C 105:3; Moses 5:5–6
2526,Luke 23:34; D&C 64:7
2527,John 8:12; John 3:18–21; D&C 45:28; D&C 50:24; D&C 88:67; D&C 88:6; D&C 84:45; Luke 23:44–46; John 10:16; James 1:5; H 1:15–17; H 1:27; D&C 68:25
2528,John 2:16; D&C 59:11
2529,Alma 28:8; D&C 4:4; D&C 18:15
2530,D&C 133:8; D&C 42:14; Alma 34:36; Mark 16:15; D&C 15:6; D&C 4:3; D&C 4:4; Alma 5:14
2531,John 14:27; John 14:14–18
2532,Mosiah 27:14; D&C 121:39
2533,D&C 93:9; D&C 88:34; D&C 88:35; D&C 88:41; D&C 3:1; D&C 88:42; D&C 88:38; D&C 88:39; D&C 133:8
2534,Alma 34:32–33
2535,Alma 29:1
2536,F 1:13
2537,H 1:17–25; Moses 1:2–3; John 1:29
2538,Moses 7:17–18; Mosiah 4:26; D&C 38:24; John 13:34–35; Luke 10:25–37; Luke 14:12–14; Alma 4:13; James 1:27; D&C 42:42; D&C 75:29; D&C 68:30; D&C 56:17; D&C 78:13; D&C 104:11; D&C 104:15; D&C 97:21; Moses 7:18; D&C 115:6
2539,D&C 72:10; D&C 84:112; D&C 51:3; D&C 72:10; D&C 83:2; D&C 84:112; D&C 56:16; D&C 56:17; D&C 52:40; D&C 104:17; D&C 56:18; D&C 44:6; D&C 56:18; D&C 97:8
2540,Mosiah 2:24; Alma 8:9; Alma 8:13; Alma 8:26; Alma 8:19–20; Luke 4:2–4; Luke 4:8; Luke 4:13–14
2541,D&C 52:40; Church 4:112
2542,D&C 58:27
2543,Luke 10:25–37; John 13:35; D&C 84:104; D&C 84:104
2544,Luke 6:46
2545,Luke 9:28; Luke 9:33; Luke 9:35; John 1:14; D&C 110:1
2546,H 1:5; Moses 4:2; Job 38:7; Moses 5:12; Acts 10:43; H 1:17
2547,H 1:25; F 1:13; D&C 124:15
2548,Mark 16:15–16; D&C 133:37; D&C 123:12
2549,John 14:6; John 5:20; John 10:30; John 17:22; John 10:16; John 10:1–5; John 10:7; John 10:16; John 15:16; James 1:5
2550,D&C 59:9; D&C 68:8; D&C 20:77; Mark 14:22–24; D&C 20:79; Star 85:778; D&C 59:9
2551,Luke 24:39–40; D&C 132:12; John 17:3
2552,Acts 1:1–3; John 20:17; D&C 138:29; Acts 10:34
2553,D&C 52:8; D&C 99:1; Matt 16:13–17; Luke 24:32; D&C 9:8
2554,Luke 18:1; D&C 93:49; D&C 59:21; Alma 34:21; D&C 88:126; Alma 34:27; Alma 34:26; D&C 112:10; Alma 34:17–18; Mark 11:25; Alma 34:28; Alma 34:20; Alma 37:36–37; D&C 59:21; D&C 78:19; James 4:3; Alma 31:31–33
2555,H 1:48
2556,Mosiah 2:17
2557,at 10:30; and 11:30
2558,D&C 88:7; D&C 84:45; D&C 130:22; John 16:13–14; D&C 6:21; John 3:1–5; John 3:6–10; D&C 131:5; D&C 88:3; Enos 1:5; Enos 1:27; Mosiah 26:20; Ether 12:37; D&C 132:49; D&C 84:46
2559,D&C 59:9; D&C 20:75; D&C 88:77; Luke 22:32
2560,Mark 4:38–39
2561,D&C 1:15; Moses 5:5; D&C 1:16; D&C 42:21; D&C 59:5; D&C 5:19; D&C 88:86; Moses 7:17–18; D&C 45:31; D&C 1:35
2562,D&C 88:79; D&C 93:24; Jacob 4:13; Alma 42:22
2563,John 5:39; D&C 98:12; John 17:3; Moses 6:59; D&C 14:7
2564,James 1:22–25; D&C 42:42; D&C 88:119
2565,Luke 24:16; Luke 24:25
2566,D&C 89:1; D&C 93:40
2567,H 1:17; H 1:17; H 1:24
2568,Mosiah 4:14–15; John 13:34–35
2569,Ether 12:27; D&C 8:2
2570,Luke 10:25–37; John 5:8; John 8:11; Mark 5:41; John 11:43
2571,Luke 10:30–37; D&C 1:10; Alma 34:29; D&C 58:26; Mosiah 15:26–27
2572,D&C 8:1; F 1:9; Amos 3:7; F 1:8; Amos 3:7
2573,Alma 1:27–28; Alma 1:30–31
2574,D&C 78:3; D&C 42:34; D&C 51:13; D&C 84:112; D&C 78:14; D&C 38:30
2575,D&C 81:5
2576,Luke 6:46; John 13:35
2577,Moses 7:17–18; D&C 42:30; D&C 42:36; D&C 104:14; D&C 51:3; D&C 78:6; D&C 134:2; D&C 104:13; D&C 105:3; D&C 105:9; D&C 105:34; D&C 119:1; D&C 1:16
2578,D&C 110:11; D&C 133:32; Acts 3:21; Acts 3:21; Moses 7:4; Moses 7:11; Moses 7:16; Moses 7:18; D&C 97:21; Moses 7:19; Moses 7:27; Moses 7:62–63; F 1:10
2579,F 1:13; D&C 59:6; D&C 59:6; D&C 38:42
2580,John 15:3–5
2581,Mark 10:26; Jacob 4:18; D&C 64:33; D&C 10:4; Moses 7:21; D&C 93:12; Luke 2:52; Acts 9:36–43; Luke 17:10; D&C 46:8; Enos 1:27; D&C 121:45
2582,D&C 67:13
2583,D&C 84:38; Mark 8:36–37; Luke 4:13; D&C 20:22
2584,D&C 19:24; D&C 20:25; D&C 45:2; D&C 19:29; D&C 88:81; D&C 38:40; D&C 63:58; D&C 19:29; D&C 18:42
2585,Jacob 2:17–19; Alma 1:30; D&C 19:26; D&C 59:23
2586,D&C 58:43; D&C 58:42; D&C 59:23
2587,at 4:00; John 4:14
2588,D&C 107:25; Luke 15:7; Luke 10:30–37; Luke 18:10–14
2589,Mosiah 18:9
2590,F 1:13; Moses 4:3–4; Ether 3:9–12; Enos 1:5–6; Hosea 4:1–3; Acts 4:35; Acts 5:1–11; D&C 42:21; D&C 42:27; D&C 42:20
2591,Ether 2:9–10
2592,Mosiah 28:3–4; D&C 50:22; Alma 32:28; Ether 4:11; Alma 29:1
2593,Mark 9:24
2594,H 1:17; D&C 110:3; H 1:32; H 1:31
2595,Luke 2:49
2596,D&C 43:8
2597,D&C 58:56; D&C 29:7
2598,John 17:21; D&C 6:23; D&C 76:69; Mosiah 5:13; John 4:42; D&C 76:23; Luke 17:21; D&C 8:1; D&C 88:68; D&C 88:67; D&C 93:13; D&C 121:7; D&C 19:41
2599,D&C 68:25; D&C 14:7; D&C 82:10
2600,John 5:39; James 1:5
2601,Luke 3:16; Luke 24:39; Acts 1:11; H 1:17
2602,Mark 16:15
2603,D&C 58:19; D&C 20:77; D&C 84:39; D&C 131:5
2604,John 3:16
2605,D&C 58:42; James 1:22; D&C 1:4; D&C 63:58; D&C 88:71
2606,H 1:17; D&C 46:11; D&C 38:27
2607,D&C 1:17; D&C 22:1; D&C 45:9; D&C 64:23; D&C 59:9; D&C 59:16; D&C 59:23; D&C 84:33; D&C 132:15; D&C 130:20
2608,Acts 9:4–6; Acts 9:5; Acts 9:4–19; Titus 2:4–8; Titus 1:16
2609,Luke 15:11–24
2610,D&C 42:14; D&C 29:30
2611,Job 19:23–24; about 5:30
2612,D&C 98:14; Alma 40:12; Alma 34:34; D&C 42:46; D&C 130:2
2613,D&C 7:5
2614,Luke 6:46
2615,D&C 107:68; D&C 46:27; D&C 84:112; D&C 51:13; D&C 78:14; D&C 83:6
2616,D&C 83:4; D&C 104:14
2617,at 7:00; At 7:30; almost 8:00; at 8:30; and 10:00; at 7:00; at 8:00
2618,D&C 104:14; D&C 76:24; D&C 51:3; D&C 104:18; Moses 4:23; D&C 104:16; D&C 104:18; Mark 7:10–12
2619,D&C 42:42
2620,Doctrine and Covenants 19:35; D&C 19:35; Luke 6:46; Alma 37:32–33; Alma 37:33; Alma 37:34; F 1:6; D&C 45:1; H 1:17; D&C 28:2; Mark 16:15
2621,Job 14:14; Job 19:23–26; Luke 7:11–15; John 11:25–26; John 14:27; John 14:2–3; Luke 23:46; Acts 7:56; D&C 76:22
2622,Acts 3:21; Luke 20:38; D&C 110:13
2623,Alma 32:23; D&C 19:23; D&C 112:14; John 17:3; D&C 88:63; D&C 39:11; D&C 42:2; D&C 43:8; D&C 42:61; D&C 88:67; John 1:5; John 20:29
2624,D&C 18:35; D&C 75:1; Enos 1:10; D&C 8:2; D&C 9:8
2625,John 16:7–8; D&C 1:21; D&C 121:33; John 17:3; Mosiah 4:5
2626,Jacob 4:14; Luke 18:22
2627,D&C 89:18
2628,John 8:31–32
2629,D&C 121:34; D&C 121:39; Alma 53:18; Alma 56:47–48; D&C 121:41
2630,D&C 6:7; D&C 88:118; D&C 109:7; D&C 20:51
2631,John 15:16; D&C 84:63; D&C 66:8; D&C 68:28; D&C 133:8; D&C 51:19
2632,D&C 84:107; D&C 84:33; John 14:15; D&C 97:15; F 1:13; D&C 58:42
2633,Luke 22:32
2634,Ether 6:4; Ether 6:12; D&C 101:77; John 10:16; Ether 2:12; F 1:12
2635,James 3:13; James 1:19–20; John 8:11; James 3:2; D&C 6:19; Job 6:25
2636,D&C 39:6; D&C 39:11; D&C 39:12; D&C 84:88; D&C 4:5
2637,Moses 1:39; Luke 22:32; Luke 22:33; D&C 107:99; D&C 88:77; Mark 16:15; D&C 128:15
2638,Acts 5:1–10; F 1:13
2639,Moses 2:1; Moses 2:3; Moses 2:28; D&C 88:33; D&C 130:20
2640,John 17:3; Moses 1:39; Moses 1:29; Moses 1:32–33; Luke 2:49; John 11:24–27; John 4:25–26; Mark 4:39; John 17:4–5; D&C 19:15; D&C 76:22
2641,D&C 2:3
2642,Job 38:3–7; Moses 4:1–2; D&C 9:8
2643,D&C 1:35; Mark 13:19; D&C 88:91; Luke 17:26–30; D&C 63:34; D&C 1:36; D&C 68:11; D&C 61:17; D&C 45:32; D&C 49:24; D&C 35:15; D&C 103:9; D&C 103:9; D&C 38:40; Joel 3:13–14
2644,John 17:3; John 14:8–9; D&C 107:43; John 14:9; D&C 130:22; John 5:19; John 8:28; John 14:5–6; Acts 4:12; John 10:23–25; Luke 24:48; Acts 10:38–43; John 1:29; Luke 8:28; Luke 1:33; John 20:16–18; Luke 24:13–35; Luke 24:36–40; Acts 1:3; Acts 1:9–11; D&C 45:51; D&C 76:22
2645,Acts 17:28–29; D&C 88:15; D&C 76:24; D&C 101:78; Alma 40:11–14; D&C 29:42; John 7:14–17; D&C 84:45
2646,John 5:39; Luke 21:5–6
2647,D&C 84:54; D&C 5:10
2648,John 7:17
2649,Alma 46:12; Acts 4:12; D&C 93:25; D&C 93:28; Alma 29:4–5
2650,D&C 101:80; D&C 101:77; Ether 2:9–10; Ether 13:3; D&C 101:80; D&C 98:9; D&C 98:10; D&C 109:54
2651,John 15:16; D&C 110:4; D&C 20:6; D&C 137:1; D&C 122:9; D&C 76:22; D&C 135:3; D&C 122:1
2652,D&C 18:23; D&C 38:22; D&C 19:18
2653,D&C 76:5; D&C 110:14
2654,D&C 38:40; Mosiah 18:9; Alma 6:6
2655,Mark 3:24–25; John 17:1; D&C 38:27
2656,D&C 1:1; Job 2:9–10; Job 27:3–6
